"","Timestamp","UTC","Callsign","Position","Altitude","Speed","Direction","phi","lambda","N","X","Y","Z","n","e","u","s","az","h"
"1",1669564859,"2022-11-27T16:00:59Z","FDB1715","25.264109,55.341686",135.4,2,30,0.440941884632732,0.965894634304851,6382029.27062685,0,0,0,0,0,0,0,NA,NA
"2",1669564888,"2022-11-27T16:01:28Z","FDB1715","25.263863,55.341557",135.4,1,47,0.440937591122772,0.965892382830116,6382029.19974056,17.3032195535488,2.17699097841978,-24.6450856807642,-27.2516757798301,-12.9948879193519,-7.1732704833849e-05,30.1914051486618,0.444954485086313,-2.37593131160031e-06
"3",1669564921,"2022-11-27T16:02:01Z","FDB1715","25.263748,55.341335",135.4,2,90,0.440935583994132,0.965888508199176,6382029.16660283,38.7902748733759,-6.06836558319628,-36.1661791675724,-39.9912429394424,-35.3582167153928,-0.000223929498798014,53.3807362368142,0.723988289988122,-4.19494961263269e-06
"4",1669564944,"2022-11-27T16:02:24Z","FDB1715","25.263748,55.341129",135.4,1,115,0.440935583994132,0.965884912820917,6382029.16660283,55.859531682916,-17.8695152327418,-36.1661791675724,-39.9911727617635,-56.1097627072933,-0.000372632547003704,68.902825559398,0.951577006250368,-5.40808804254755e-06
"5",1669564972,"2022-11-27T16:02:52Z","FDB1715","25.263853,55.340919",135.4,1,123,0.440937416589847,0.965881247629488,6382029.19685901,70.4370263922028,-33.9832656607032,-25.6469194712117,-28.3592532393899,-77.2641848835977,-0.000531045064702695,82.3043225493329,1.21902012439463,-6.45221354428953e-06
"6",1669565012,"2022-11-27T16:03:32Z","FDB1715","25.263969,55.340714",135.4,1,120,0.440939441171779,0.965877669704521,6382029.230285,84.3043740661815,-50.2384212901816,-14.0256524956785,-15.5087329730627,-97.9148844115501,-0.000770050529545152,99.1354900545206,1.41371132598236,-7.76765746686074e-06
"7",1669565155,"2022-11-27T16:05:55Z","FDB1715","25.263737,55.341297",135.4,0,120,0.440935392007915,0.96588784497406,6382029.16343314,42.2347321151756,-7.81748742144555,-37.2681973674335,-41.2098034955961,-39.1861753330543,-0.000254080402449119,56.8665476483589,0.760232713754636,-4.46801173901221e-06
"8",1669565188,"2022-11-27T16:06:28Z","FDB1715","25.263966,55.340717",135.4,0,120,0.440939388811902,0.965877722064399,6382029.22942053,84.1364572909661,-49.9498892584816,-14.3262023665011,-15.8410727436365,-97.612680377084,-0.000766240722132494,98.8897110757993,1.40991390899483,-7.74843726212159e-06
"9",1669565199,"2022-11-27T16:06:39Z","FDB1715","25.263725,55.341141",135.4,9,123,0.440935182568404,0.965885122260427,6382029.1599753,55.483608815819,-16.287611015141,-38.4703991529532,-42.5390991266649,-54.9009451297816,-0.000378685471957851,69.4527805836088,0.911590201549879,-5.45241628596651e-06
"10",1669565215,"2022-11-27T16:06:55Z","FDB1715","25.263016,55.341595",135.4,13,174,0.440922808184008,0.965893046055231,6382028.95567656,36.9273109361529,37.2930469345301,-109.50069538923,-121.081650311963,-9.16700004056177,-0.00116148764548285,121.428167792161,0.0755650857375926,-9.56522417013312e-06
"11",1669565220,"2022-11-27T16:07:00Z","FDB1715","25.262735,55.341709",135.4,13,149,0.44091790380881,0.965895035730579,6382028.87470742,35.0360174919479,54.7514060540125,-137.65244895732,-152.210602386889,2.31693940857644,-0.00182548789346981,152.228235523293,-0.0152207562850439,-1.19917825181271e-05
"12",1669565224,"2022-11-27T16:07:04Z","FDB1715","25.262592,55.341911",135.4,13,126,0.440915407987979,0.965898561295668,6382028.83350273,22.1425638501532,71.8843532176688,-151.978810785804,-168.05200566444,22.6657381586558,-0.00226497326720221,169.573619113493,-0.134064349645697,-1.33568728385378e-05
"13",1669565232,"2022-11-27T16:07:12Z","FDB1715","25.262306,55.342407",135.4,14,120,0.440910416346319,0.965907218128757,6382028.75109387,-11.2680018139072,111.420391663909,-180.631584231276,-199.734672842388,72.6312688669094,-0.00355593503722673,212.530564308566,-0.348773120545131,-1.67314054284912e-05
"14",1669565250,"2022-11-27T16:07:30Z","FDB1715","25.261654,55.343601",135.4,15,120,0.440899036799596,0.965928057360026,6382028.56322726,-92.6785772875883,205.173986744136,-245.952141087502,-271.961507573264,192.912097993141,-0.00874200316651752,333.433860353235,-0.616964317959443,-2.62181026193857e-05
"15",1669565253,"2022-11-27T16:07:33Z","FDB1715","25.261539,55.343807",135.4,16,120,0.440897029670956,0.965931652738285,6382028.53009165,-106.657081676181,221.446675566956,-257.473440741189,-284.700798945073,213.664201164458,-0.00996164309330538,355.959177263971,-0.643812609587313,-2.79853526215405e-05
"16",1669565259,"2022-11-27T16:07:39Z","FDB1715","25.261316,55.344212",135.4,16,120,0.440893137586724,0.965938721321756,6382028.46583768,-134.222475707531,253.318679149263,-279.814774133265,-309.40384476054,254.463346481408,-0.012614059147424,400.602463814485,-0.688269581480857,-3.14877223404942e-05
"17",1669565267,"2022-11-27T16:07:47Z","FDB1715","25.260979,55.344799",135.4,17,120,0.440887255827145,0.965948966404465,6382028.36873718,-173.805241224822,300.049175146036,-313.577314175665,-346.735177211477,313.597222465049,-0.0171753004341895,467.513102863074,-0.735256479574448,-3.67375808995951e-05
