"","Timestamp","UTC","Callsign","Position","Altitude","Speed","Direction","phi","lambda","N","X","Y","Z","n","e","u","s","az","h"
"1",1666093489,"2022-10-18T11:44:49Z","LOT3965","52.17675,20.966211",135.4,0,239,0.910656080489951,0.365929413617853,6397190.26261925,0,0,0,0,0,0,0,0,0
"2",1666093535,"2022-10-18T11:45:35Z","LOT3965","52.176842,20.966415",135.4,3,261,0.910657686192863,0.365932974089527,6397189.0149173,-13.2892585028894,9.86583300167695,5.27805385924876,10.2504092538799,13.9677589879843,-1.27582283107181,17.3723028097811,0.937703712876873,-0.073506229047589
"3",1666093545,"2022-10-18T11:45:45Z","LOT3965","52.176876,20.966623",135.4,3,278,0.910658279604809,0.365936604374371,6397188.55373855,-21.449455326423,21.9903296746779,7.22857898101211,14.0386564236835,28.2093720061841,-1.74743924657141,31.557979768768,1.1090230277084,-0.0554006772040248
"4",1666093554,"2022-10-18T11:45:54Z","LOT3965","52.176865,20.966839",135.4,3,300,0.910658087618591,0.365940374285555,6397188.70294766,-25.7501102159731,36.1803719019517,6.59753027837723,12.8131726786821,42.9987631408065,-1.59495051318231,44.895599927748,1.28118520171282,-0.0355332415412947
"5",1666093564,"2022-10-18T11:46:04Z","LOT3965","52.176796,20.967054",135.4,3,317,0.910656883341407,0.365944126743447,6397189.6388036,-24.799175741151,52.3095305678435,2.63905656617135,5.12553059401985,57.7197752537894,-0.638126954378534,57.9504160919324,1.48222838754805,-0.0110118251804377
"6",1666093583,"2022-10-18T11:46:23Z","LOT3965","52.176601,20.967293",135.4,3,329,0.910653479949366,0.365948298080359,6397192.28275447,-13.0813216669485,74.3245211481117,-8.54865542706102,-16.6006283394358,74.0843373955338,2.06519283882572,75.9495551669718,-1.3503601678546,0.0271949903393286
"7",1666093601,"2022-10-18T11:46:41Z","LOT3965","52.176384,20.967503",135.4,3,329,0.910649692584889,0.365951963271789,6397195.22350437,1.3287092638202,95.2449187806342,-20.9998233793303,-40.777965976356,88.4634703045798,5.07193417763932,97.5415429640132,-1.13886698205257,0.0520211425477718
"8",1666093621,"2022-10-18T11:47:01Z","LOT3965","52.176189,20.967712",135.4,3,281,0.910646289192848,0.365955611009925,6397197.86477179,13.7797819934785,115.341447510058,-32.1897868467495,-62.5040952237769,102.774230537191,7.77238061907176,120.539264485654,-1.02439189138492,0.06452483843345
"9",1666093632,"2022-10-18T11:47:12Z","LOT3965","52.176155,20.967937",135.4,3,255,0.910645695780902,0.365959538000742,6397198.32517038,11.3306211917661,130.901247576578,-34.1409665402025,-66.2919475673032,118.180193375478,8.24286184910963,135.7539140872,-1.05959302339639,0.0607565189584085
"10",1666093645,"2022-10-18T11:47:25Z","LOT3965","52.176201,20.96817",135.4,2,244,0.910646498632358,0.365963604617899,6397197.70226894,1.47660810267553,144.209948292468,-31.5011429293081,-61.1663373662886,134.133682996082,7.60564415140038,147.617788778513,-1.14295551063477,0.0515453672363163
